Model,Dataset,Mode,Percentage,Hit Ratio@10,Precision@10,Recall@10,NDCG@10,Hit Ratio@20,Precision@20,Recall@20,NDCG@20,Hit Ratio@40,Precision@40,Recall@40,NDCG@40
LightGCN,lastfm,add_noise,50,0.06955,0.08576,0.07132,0.11398,0.11618,0.07163,0.11734,0.12699,0.17254,0.05319,0.17284,0.15719
LightGCN,lastfm,cold_start,1,0.13207,0.11602,0.13158,0.17536,0.19495,0.08563,0.19402,0.20993,0.27536,0.06047,0.27439,0.24715
LightGCN,lastfm,missing,10,0.1466,0.18077,0.14826,0.23401,0.22033,0.13584,0.22234,0.24618,0.31151,0.09603,0.31308,0.29216
LightGCN,lastfm,missing,20,0.13183,0.16263,0.1334,0.20754,0.20297,0.1252,0.20445,0.22129,0.29114,0.08979,0.29211,0.26589
LightGCN,lastfm,missing,30,0.11864,0.14636,0.11933,0.18396,0.18694,0.11531,0.18754,0.19893,0.27201,0.08389,0.27366,0.24237
LightGCN,lastfm,missing,40,0.10618,0.13099,0.10679,0.16749,0.17285,0.10662,0.17333,0.18411,0.25632,0.07905,0.25705,0.22623
LightGCN,lastfm,missing,50,0.09128,0.11272,0.0919,0.14438,0.15226,0.09401,0.15285,0.16055,0.2295,0.07085,0.2295,0.19938
LightGCN,ml-1m,add_noise,10,0.04339,0.17995,0.07135,0.21148,0.07765,0.16103,0.12083,0.20901,0.13808,0.14316,0.20354,0.22778
LightGCN,ml-1m,add_noise,20,0.04284,0.17765,0.06964,0.20302,0.07766,0.16105,0.12258,0.20593,0.13597,0.14097,0.19967,0.22269
LightGCN,ml-1m,add_noise,30,0.04105,0.17025,0.06846,0.19605,0.0741,0.15365,0.11878,0.19591,0.12919,0.13395,0.19192,0.21108
LightGCN,ml-1m,add_noise,40,0.03702,0.15355,0.06005,0.17588,0.06742,0.1398,0.10627,0.17789,0.1197,0.12411,0.17696,0.19385
LightGCN,ml-1m,add_noise,50,0.0317,0.13145,0.04935,0.15232,0.05741,0.11905,0.08526,0.15167,0.10432,0.10816,0.14794,0.16553
LightGCN,ml-1m,cold_start,1,0.10241,0.08317,0.10592,0.11711,0.15777,0.06406,0.16505,0.14305,0.24823,0.0504,0.25479,0.18128
LightGCN,ml-1m,missing,10,0.06983,0.2896,0.11028,0.33056,0.12133,0.2516,0.18168,0.3216,0.20402,0.21154,0.28478,0.33422
LightGCN,ml-1m,missing,20,0.05958,0.2471,0.09861,0.28111,0.10594,0.21968,0.16517,0.27945,0.18119,0.18786,0.26063,0.29618
LightGCN,ml-1m,missing,30,0.05155,0.2138,0.08676,0.24237,0.09359,0.19407,0.14781,0.24469,0.1625,0.16849,0.2391,0.26437
LightGCN,ml-1m,missing,40,0.04592,0.19045,0.07871,0.21472,0.08194,0.16992,0.13179,0.2152,0.14505,0.15039,0.21749,0.23619
LightGCN,ml-1m,missing,50,0.0398,0.16505,0.06812,0.18646,0.07366,0.15275,0.11865,0.19136,0.1284,0.13312,0.19409,0.20889
SGL,lastfm,add_noise,10,0.10235,0.12626,0.10331,0.15635,0.16548,0.10207,0.16607,0.17303,0.25085,0.07737,0.25107,0.2157
SGL,lastfm,add_noise,20,0.10062,0.12407,0.10083,0.15573,0.16233,0.10008,0.16258,0.17207,0.24412,0.07525,0.24481,0.2133
SGL,lastfm,add_noise,30,0.09848,0.12154,0.09987,0.14664,0.15739,0.09713,0.1585,0.16248,0.23221,0.07165,0.23381,0.20101
SGL,lastfm,add_noise,40,0.08192,0.10106,0.08283,0.12895,0.13872,0.08557,0.13919,0.14493,0.20789,0.06411,0.2083,0.18042
SGL,lastfm,add_noise,50,0.07481,0.09224,0.07651,0.11923,0.12514,0.07715,0.12681,0.13472,0.18827,0.05804,0.18937,0.16737
SGL,lastfm,cold_start,1,0.13488,0.11848,0.13438,0.17837,0.20033,0.08799,0.19927,0.21411,0.2791,0.06129,0.27828,0.25022
SGL,lastfm,missing,10,0.15496,0.19107,0.1574,0.24056,0.23115,0.14251,0.23322,0.25358,0.32591,0.10046,0.32732,0.30093
SGL,lastfm,missing,20,0.13911,0.17161,0.14071,0.21384,0.21504,0.13264,0.21632,0.23007,0.30631,0.09447,0.30649,0.27584
SGL,lastfm,missing,30,0.12782,0.15768,0.12776,0.19309,0.19888,0.12267,0.20061,0.20964,0.29071,0.08966,0.29154,0.25573
SGL,lastfm,missing,40,0.10998,0.13567,0.11029,0.16764,0.18044,0.1113,0.18088,0.18668,0.26688,0.08231,0.26748,0.2301
SGL,lastfm,missing,50,0.09637,0.119,0.09704,0.1471,0.1567,0.09675,0.15677,0.163,0.23687,0.07312,0.23693,0.20358
SGL,ml-1m,add_noise,10,0.04298,0.17825,0.07109,0.20708,0.07917,0.16417,0.12306,0.21067,0.14046,0.14564,0.20701,0.22972
SGL,ml-1m,add_noise,20,0.04211,0.17465,0.06939,0.19775,0.0777,0.16112,0.12532,0.20348,0.13627,0.14129,0.20326,0.22155
SGL,ml-1m,add_noise,30,0.04105,0.17025,0.06867,0.19476,0.07389,0.15323,0.11691,0.19439,0.13165,0.1365,0.1929,0.21191
SGL,ml-1m,add_noise,40,0.0371,0.15385,0.05922,0.1738,0.06768,0.14035,0.10514,0.17681,0.11908,0.12346,0.17387,0.19203
SGL,ml-1m,add_noise,50,0.03276,0.13585,0.05228,0.15177,0.05995,0.12433,0.08993,0.15271,0.10645,0.11038,0.15181,0.16638
SGL,ml-1m,cold_start,1,0.10071,0.08178,0.10619,0.11685,0.1546,0.06277,0.16174,0.14138,0.24214,0.04916,0.24947,0.17884
SGL,ml-1m,missing,10,0.07131,0.29575,0.11662,0.33948,0.12403,0.2572,0.19052,0.33031,0.20945,0.21716,0.29686,0.34446
SGL,ml-1m,missing,20,0.0615,0.25505,0.10273,0.2887,0.10794,0.22382,0.17102,0.28604,0.18454,0.19134,0.26984,0.30394
SGL,ml-1m,missing,30,0.05334,0.2212,0.09072,0.24718,0.09453,0.19603,0.15338,0.24749,0.16526,0.17135,0.24683,0.26893
SGL,ml-1m,missing,40,0.04716,0.1956,0.08311,0.21867,0.08527,0.17683,0.1396,0.22202,0.14781,0.15325,0.22333,0.2414
SGL,ml-1m,missing,50,0.03114,0.12915,0.04786,0.149,0.05522,0.1145,0.08188,0.14773,0.09767,0.10126,0.13778,0.15962
SHT,lastfm,add_noise,10,0.10304,0.12711,0.10406,0.16429,0.16596,0.10237,0.16725,0.17966,0.24443,0.07539,0.2449,0.2192
SHT,lastfm,add_noise,20,0.09842,0.12136,0.09906,0.15835,0.1603,0.09883,0.16113,0.1731,0.23817,0.07342,0.2389,0.21206
