,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
151,151,0.14415,0.20476,0.2242,0.22973,0.1794,0.12742,0.14542,0.20606
152,152,0.13918,0.20413,0.21662,0.22584,0.17322,0.12702,0.13968,0.20563
153,153,0.13383,0.20018,0.2109,0.2213,0.16656,0.12456,0.13528,0.20129
154,154,0.13829,0.20171,0.21369,0.22233,0.17211,0.12552,0.13956,0.20338
155,155,0.13969,0.20311,0.22191,0.22926,0.17385,0.12639,0.14105,0.20536
156,156,0.13995,0.20616,0.21279,0.22397,0.17417,0.12829,0.14228,0.20845
157,157,0.13956,0.20629,0.2185,0.22918,0.17369,0.12837,0.14089,0.20804
158,158,0.14249,0.20222,0.22059,0.22595,0.17734,0.12583,0.14368,0.20341
159,159,0.13969,0.20565,0.21931,0.2292,0.17385,0.12797,0.14039,0.20755
160,160,0.13931,0.20527,0.22026,0.22926,0.17338,0.12773,0.14034,0.20611
161,161,0.13689,0.20056,0.21458,0.22295,0.17036,0.1248,0.13753,0.20133
162,162,0.13995,0.20718,0.21942,0.23031,0.17417,0.12892,0.14024,0.2099
163,163,0.13613,0.20005,0.21197,0.22157,0.16941,0.12448,0.13698,0.20192
164,164,0.14058,0.20591,0.22175,0.23095,0.17496,0.12813,0.14195,0.20686
165,165,0.14084,0.20731,0.22196,0.23155,0.17528,0.129,0.14201,0.20979
166,166,0.14007,0.20374,0.21836,0.22736,0.17433,0.12678,0.14133,0.20506
167,167,0.14173,0.20642,0.22291,0.23072,0.17639,0.12845,0.1423,0.20822
168,168,0.1374,0.20553,0.21692,0.22752,0.171,0.12789,0.13773,0.20589
169,169,0.14249,0.20514,0.22163,0.2287,0.17734,0.12765,0.14329,0.20663
170,170,0.13906,0.2054,0.21928,0.22905,0.17306,0.12781,0.13961,0.20694
171,171,0.14198,0.20604,0.22432,0.23118,0.1767,0.12821,0.142,0.20557
172,172,0.13893,0.20323,0.21706,0.2253,0.1729,0.12647,0.13921,0.20316
173,173,0.14466,0.21304,0.22843,0.23779,0.18003,0.13257,0.14481,0.21486
174,174,0.14135,0.20629,0.22161,0.2298,0.17591,0.12837,0.14244,0.2062
175,175,0.14097,0.21126,0.22134,0.23317,0.17544,0.13146,0.14141,0.21399
176,176,0.13536,0.19954,0.21147,0.22115,0.16846,0.12417,0.13528,0.20133
177,177,0.14275,0.20413,0.22456,0.23048,0.17765,0.12702,0.14382,0.20628
178,178,0.13893,0.20132,0.22224,0.22929,0.1729,0.12528,0.14082,0.20442
179,179,0.14097,0.20578,0.2198,0.22848,0.17544,0.12805,0.14234,0.20757
180,180,0.14288,0.20833,0.22153,0.23028,0.17781,0.12964,0.14359,0.20901
181,181,0.14186,0.20807,0.22493,0.23398,0.17655,0.12948,0.14292,0.20974
182,182,0.14249,0.20425,0.21932,0.22582,0.17734,0.1271,0.14273,0.20582
183,183,0.14186,0.20833,0.22397,0.23315,0.17655,0.12964,0.14232,0.21108
184,184,0.14135,0.20464,0.22172,0.22932,0.17591,0.12734,0.14271,0.2067
185,185,0.14428,0.20629,0.22548,0.2322,0.17956,0.12837,0.14452,0.20871
186,186,0.14402,0.2082,0.22644,0.23368,0.17924,0.12956,0.14462,0.20959
187,187,0.14593,0.21202,0.23049,0.23869,0.18162,0.13193,0.14609,0.21352
188,188,0.14313,0.20782,0.22719,0.23433,0.17813,0.12932,0.14422,0.20857
189,189,0.13944,0.2026,0.22014,0.22764,0.17353,0.12607,0.13986,0.20395
190,190,0.14071,0.20311,0.22404,0.23134,0.17512,0.12639,0.14113,0.20514
191,191,0.1416,0.20667,0.2276,0.23596,0.17623,0.12861,0.14256,0.20895
192,192,0.14135,0.20769,0.22628,0.23501,0.17591,0.12924,0.14319,0.21014
193,193,0.14275,0.2096,0.22721,0.23625,0.17765,0.13043,0.14327,0.21179
194,194,0.14466,0.20744,0.22508,0.23167,0.18003,0.12908,0.14535,0.20813
195,195,0.14084,0.20514,0.22124,0.22904,0.17528,0.12765,0.14176,0.20489
196,196,0.14122,0.20769,0.22232,0.23136,0.17575,0.12924,0.14205,0.20751
197,197,0.13587,0.20247,0.21222,0.22369,0.1691,0.12599,0.13692,0.20486
198,198,0.14402,0.2082,0.22873,0.23578,0.17924,0.12956,0.14483,0.20886
199,199,0.143,0.21075,0.22652,0.23644,0.17797,0.13114,0.14385,0.21296
200,200,0.14364,0.20896,0.22621,0.23431,0.17876,0.13003,0.14412,0.20869
201,201,0.14848,0.21317,0.23275,0.24021,0.18479,0.13265,0.14935,0.21585
202,202,0.14338,0.20795,0.22468,0.23249,0.17845,0.1294,0.14337,0.2097
203,203,0.14058,0.20782,0.22291,0.23208,0.17496,0.12932,0.14159,0.2093
204,204,0.13689,0.20234,0.21644,0.22626,0.17036,0.12591,0.13728,0.20418
205,205,0.14033,0.20986,0.22059,0.23284,0.17464,0.13059,0.14111,0.2124
206,206,0.13689,0.19929,0.21058,0.21896,0.17036,0.12401,0.13733,0.19984
