,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
103,103,0.14402,0.21189,0.231,0.23965,0.17924,0.13185,0.14471,0.21209
104,104,0.14428,0.21202,0.23381,0.24184,0.17956,0.13193,0.14488,0.21171
105,105,0.14262,0.21266,0.2272,0.23755,0.1775,0.13233,0.14252,0.21418
106,106,0.1444,0.2096,0.2304,0.23761,0.17971,0.13043,0.14515,0.21162
107,107,0.13676,0.20425,0.22275,0.23225,0.17021,0.1271,0.13701,0.20578
108,108,0.13969,0.20171,0.2224,0.22895,0.17385,0.12552,0.13977,0.20312
109,109,0.1416,0.20667,0.22725,0.23487,0.17623,0.12861,0.14206,0.20827
110,110,0.14771,0.21495,0.23276,0.24137,0.18384,0.13376,0.1483,0.2171
111,111,0.14275,0.20756,0.22841,0.23582,0.17765,0.12916,0.14388,0.20922
112,112,0.14466,0.20947,0.2294,0.23678,0.18003,0.13035,0.14522,0.21183
113,113,0.14428,0.21202,0.22785,0.23698,0.17956,0.13193,0.14485,0.21274
114,114,0.14326,0.20947,0.2279,0.23629,0.17829,0.13035,0.14361,0.21137
115,115,0.14466,0.20756,0.22878,0.23501,0.18003,0.12916,0.1451,0.20943
116,116,0.14657,0.21482,0.23327,0.24244,0.18241,0.13368,0.14687,0.21765
117,117,0.14555,0.20973,0.23163,0.23829,0.18114,0.13051,0.14606,0.21119
118,118,0.14593,0.21291,0.23143,0.23992,0.18162,0.13249,0.14609,0.21505
119,119,0.14797,0.21342,0.23535,0.24228,0.18415,0.13281,0.14735,0.2154
120,120,0.14491,0.21215,0.23077,0.23972,0.18035,0.13201,0.14467,0.21405
121,121,0.14237,0.20553,0.22753,0.2338,0.17718,0.12789,0.14353,0.20761
122,122,0.14466,0.21037,0.2313,0.23884,0.18003,0.1309,0.14507,0.21181
123,123,0.14848,0.2175,0.23559,0.24437,0.18479,0.13534,0.14888,0.21825
124,124,0.14466,0.21278,0.23198,0.24026,0.18003,0.13241,0.14511,0.21244
125,125,0.14746,0.21508,0.23388,0.24188,0.18352,0.13384,0.14744,0.21519
126,126,0.1467,0.21329,0.23245,0.24019,0.18257,0.13273,0.14772,0.21504
127,127,0.14746,0.21635,0.23485,0.24353,0.18352,0.13463,0.14799,0.21855
128,128,0.14555,0.21278,0.23173,0.23982,0.18114,0.13241,0.14563,0.21453
129,129,0.14848,0.21559,0.2334,0.24114,0.18479,0.13415,0.1488,0.21635
130,130,0.14619,0.21291,0.23258,0.24102,0.18193,0.13249,0.14636,0.21465
131,131,0.14644,0.21266,0.23467,0.2421,0.18225,0.13233,0.14737,0.21228
132,132,0.14784,0.21329,0.23619,0.24317,0.18399,0.13273,0.14814,0.21492
133,133,0.14644,0.21597,0.23382,0.24293,0.18225,0.13439,0.14733,0.21508
134,134,0.14822,0.2152,0.23463,0.24206,0.18447,0.13391,0.149,0.2153
135,135,0.14555,0.21253,0.23107,0.23937,0.18114,0.13225,0.14589,0.21477
136,136,0.14593,0.21584,0.23226,0.24166,0.18162,0.13431,0.14599,0.21619
137,137,0.14058,0.21368,0.22661,0.23911,0.17496,0.13296,0.14131,0.21575
138,138,0.14453,0.21584,0.23251,0.24371,0.17987,0.13431,0.14533,0.2181
139,139,0.14899,0.21775,0.23677,0.24509,0.18542,0.1355,0.14985,0.218
140,140,0.14644,0.21648,0.23293,0.24341,0.18225,0.13471,0.14715,0.21873
141,141,0.14568,0.21801,0.23413,0.24563,0.1813,0.13566,0.14612,0.2206
142,142,0.14708,0.2161,0.23452,0.24358,0.18304,0.13447,0.14786,0.21722
143,143,0.14784,0.2161,0.23712,0.24497,0.18399,0.13447,0.1487,0.21696
144,144,0.15052,0.22017,0.23744,0.2467,0.18732,0.137,0.15119,0.22262
145,145,0.14007,0.20909,0.22659,0.23642,0.17433,0.13011,0.14069,0.2096
146,146,0.14937,0.21801,0.23609,0.24514,0.1859,0.13566,0.15007,0.21987
147,147,0.14746,0.2175,0.23435,0.24387,0.18352,0.13534,0.14801,0.21786
148,148,0.14886,0.21533,0.23559,0.24363,0.18526,0.13399,0.14941,0.21825
149,149,0.14911,0.21597,0.2349,0.24266,0.18558,0.13439,0.14893,0.21828
150,150,0.1495,0.21444,0.23603,0.24184,0.18605,0.13344,0.15046,0.21415
151,151,0.14988,0.21329,0.23593,0.24058,0.18653,0.13273,0.15093,0.21491
152,152,0.15064,0.21648,0.23934,0.24544,0.18748,0.13471,0.15166,0.2167
153,153,0.15064,0.22081,0.23919,0.24888,0.18748,0.1374,0.15167,0.22334
154,154,0.14937,0.21826,0.23582,0.24468,0.1859,0.13582,0.15067,0.2211
155,155,0.14835,0.21813,0.23683,0.246,0.18463,0.13574,0.14903,0.22027
156,156,0.15141,0.21342,0.23657,0.24133,0.18843,0.13281,0.1521,0.21555
157,157,0.14975,0.21278,0.23526,0.24069,0.18637,0.13241,0.15035,0.21433
158,158,0.14899,0.21801,0.23744,0.24655,0.18542,0.13566,0.14956,0.22073
159,159,0.14784,0.21686,0.23555,0.24433,0.18399,0.13494,0.14906,0.21928
160,160,0.1467,0.21597,0.23075,0.24081,0.18257,0.13439,0.14688,0.21757
161,161,0.1481,0.21979,0.23674,0.24686,0.18431,0.13677,0.14915,0.22041
162,162,0.15179,0.21839,0.23923,0.24645,0.18891,0.1359,0.15253,0.2208
163,163,0.14771,0.21482,0.23401,0.24218,0.18384,0.13368,0.14779,0.21696
164,164,0.15039,0.21788,0.23844,0.24622,0.18716,0.13558,0.15156,0.22014
165,165,0.15103,0.22132,0.23893,0.24822,0.18796,0.13772,0.1513,0.2223
166,166,0.15077,0.21941,0.23826,0.24692,0.18764,0.13653,0.1512,0.22238
167,167,0.15128,0.21839,0.2389,0.24594,0.18827,0.1359,0.15208,0.22012
168,168,0.14759,0.21393,0.23339,0.24058,0.18368,0.13312,0.14871,0.21643
169,169,0.1416,0.211,0.22825,0.23819,0.17623,0.1313,0.1428,0.21133
170,170,0.14937,0.21508,0.2332,0.24024,0.1859,0.13384,0.15067,0.2169
171,171,0.14911,0.21839,0.23704,0.24618,0.18558,0.1359,0.14983,0.2207
172,172,0.15115,0.22284,0.24088,0.25125,0.18811,0.13867,0.1519,0.22462
173,173,0.15141,0.21762,0.23733,0.24463,0.18843,0.13542,0.15161,0.22006
174,174,0.14822,0.21329,0.23391,0.24083,0.18447,0.13273,0.14782,0.21504
175,175,0.15141,0.2189,0.23821,0.24581,0.18843,0.13621,0.152,0.22081
176,176,0.15052,0.22119,0.23717,0.24715,0.18732,0.13764,0.15088,0.22361
177,177,0.15026,0.21711,0.2359,0.24388,0.187,0.1351,0.15091,0.21973
178,178,0.15294,0.21902,0.24027,0.2466,0.19033,0.13629,0.15359,0.22063
179,179,0.15064,0.22068,0.23799,0.24663,0.18748,0.13732,0.15134,0.22282
180,180,0.15064,0.22144,0.23825,0.24785,0.18748,0.1378,0.15098,0.22346
181,181,0.14899,0.22132,0.23508,0.24629,0.18542,0.13772,0.1495,0.22215
182,182,0.1509,0.21444,0.23852,0.24356,0.1878,0.13344,0.1506,0.21421
183,183,0.15332,0.21826,0.24141,0.24711,0.19081,0.13582,0.15268,0.22005
184,184,0.1509,0.21953,0.23956,0.24784,0.1878,0.13661,0.15187,0.22039
185,185,0.14911,0.21724,0.23728,0.24541,0.18558,0.13518,0.15077,0.21941
