,epoch,hit@10,hit@20,ndcg@10,ndcg@20,precision@10,precision@20,recall@10,recall@20
222,222,0.15485,0.22896,0.2445,0.25535,0.19271,0.14247,0.15481,0.22852
223,223,0.15892,0.23443,0.24974,0.26124,0.19778,0.14588,0.15951,0.23535
224,224,0.15765,0.23227,0.24565,0.2567,0.1962,0.14453,0.15834,0.23244
225,225,0.16007,0.23545,0.24829,0.25939,0.19921,0.14651,0.16071,0.23496
226,226,0.15701,0.22972,0.24386,0.25342,0.1954,0.14295,0.15781,0.22924
227,227,0.15497,0.2301,0.23944,0.25092,0.19287,0.14319,0.1556,0.22988
228,228,0.15357,0.23023,0.2376,0.25032,0.19113,0.14326,0.15425,0.22954
229,229,0.15625,0.23138,0.24374,0.25474,0.19445,0.14398,0.15726,0.2316
230,230,0.15777,0.2329,0.24822,0.25876,0.19635,0.14493,0.15881,0.23326
231,231,0.1565,0.22807,0.24329,0.25276,0.19477,0.14192,0.15741,0.2285
232,232,0.15472,0.23023,0.24532,0.25815,0.19255,0.14326,0.15456,0.2323
233,233,0.15752,0.2324,0.24743,0.2585,0.19604,0.14461,0.15936,0.23367
234,234,0.15548,0.23265,0.24296,0.25653,0.1935,0.14477,0.15613,0.23446
235,235,0.15726,0.23469,0.24805,0.26082,0.19572,0.14604,0.15775,0.23539
236,236,0.15599,0.23023,0.24403,0.25585,0.19414,0.14326,0.15654,0.23191
237,237,0.15599,0.23252,0.24504,0.25763,0.19414,0.14469,0.15624,0.23258
238,238,0.15726,0.22921,0.24638,0.25649,0.19572,0.14263,0.15909,0.23108
239,239,0.15739,0.23507,0.24644,0.25912,0.19588,0.14628,0.15849,0.2357
240,240,0.15676,0.23392,0.2439,0.25695,0.19509,0.14556,0.15844,0.23493
241,241,0.1551,0.22666,0.24035,0.2504,0.19303,0.14105,0.1556,0.22694
242,242,0.14988,0.22475,0.23038,0.24429,0.18653,0.13986,0.15019,0.22574
243,243,0.1579,0.23481,0.24756,0.25941,0.19651,0.14612,0.15785,0.23386
244,244,0.15548,0.23163,0.24389,0.25653,0.1935,0.14414,0.15596,0.23171
245,245,0.15816,0.23634,0.24669,0.25973,0.19683,0.14707,0.15895,0.2369
246,246,0.15663,0.23545,0.24368,0.25782,0.19493,0.14651,0.1574,0.23503
247,247,0.15255,0.22896,0.2361,0.25022,0.18986,0.14247,0.1536,0.23058
248,248,0.15701,0.23201,0.24892,0.25957,0.1954,0.14437,0.15799,0.2315
249,249,0.15446,0.22934,0.24059,0.25308,0.19223,0.14271,0.15469,0.23007
250,250,0.15497,0.23189,0.24542,0.25821,0.19287,0.14429,0.15688,0.23248
251,251,0.15765,0.23125,0.24673,0.25713,0.1962,0.1439,0.15939,0.23145
252,252,0.15765,0.22985,0.24747,0.25757,0.1962,0.14303,0.15904,0.23119
253,253,0.15867,0.2324,0.24943,0.25977,0.19746,0.14461,0.15902,0.23256
254,254,0.16198,0.23545,0.25157,0.26126,0.20158,0.14651,0.16355,0.23708
255,255,0.15828,0.23596,0.24522,0.2587,0.19699,0.14683,0.16029,0.2383
256,256,0.15332,0.23176,0.23589,0.25114,0.19081,0.14422,0.15384,0.23255
257,257,0.15905,0.23481,0.25103,0.26193,0.19794,0.14612,0.1606,0.23413
258,258,0.15485,0.22896,0.23885,0.25096,0.19271,0.14247,0.15625,0.22976
259,259,0.16223,0.23774,0.25546,0.26694,0.2019,0.14794,0.16295,0.23955
260,260,0.15816,0.23774,0.24842,0.26354,0.19683,0.14794,0.16006,0.24017
261,261,0.16108,0.23813,0.25031,0.26334,0.20048,0.14818,0.16236,0.24029
262,262,0.16058,0.23749,0.24955,0.26262,0.19984,0.14778,0.16117,0.23981
263,263,0.15816,0.23494,0.24772,0.26003,0.19683,0.1462,0.15866,0.23524
264,264,0.15153,0.2301,0.23759,0.2534,0.18859,0.14319,0.15232,0.23212
265,265,0.16045,0.23571,0.25208,0.264,0.19968,0.14667,0.16202,0.23781
266,266,0.15943,0.23507,0.24772,0.25966,0.19842,0.14628,0.16088,0.23671
267,267,0.16185,0.2394,0.25398,0.26693,0.20143,0.14897,0.16349,0.2408
268,268,0.15485,0.23074,0.24173,0.25428,0.19271,0.14358,0.15631,0.23254
269,269,0.16032,0.23469,0.24932,0.25946,0.19952,0.14604,0.16219,0.23573
270,270,0.1565,0.22947,0.24546,0.25533,0.19477,0.14279,0.15754,0.22914
271,271,0.15968,0.23316,0.25121,0.2611,0.19873,0.14509,0.16181,0.23392
272,272,0.16312,0.23991,0.25456,0.26579,0.20301,0.14929,0.16487,0.24011
273,273,0.15879,0.23456,0.2442,0.25617,0.19762,0.14596,0.16031,0.23631
274,274,0.15917,0.23354,0.24563,0.25722,0.1981,0.14532,0.16052,0.23418
275,275,0.15395,0.23265,0.23589,0.25101,0.1916,0.14477,0.1556,0.2336
276,276,0.16019,0.23876,0.2491,0.26294,0.19937,0.14857,0.16222,0.23993
277,277,0.15841,0.23392,0.24932,0.26047,0.19715,0.14556,0.16047,0.23444
278,278,0.15956,0.2366,0.24919,0.26163,0.19857,0.14723,0.16078,0.23657
279,279,0.15676,0.23456,0.24132,0.25481,0.19509,0.14596,0.15819,0.23454
280,280,0.15981,0.23863,0.24807,0.26196,0.19889,0.14849,0.16161,0.24031
281,281,0.15701,0.23571,0.24285,0.25653,0.1954,0.14667,0.15861,0.23682
282,282,0.15777,0.23622,0.24679,0.26026,0.19635,0.14699,0.1602,0.23696
283,283,0.15586,0.23316,0.24008,0.25394,0.19398,0.14509,0.15803,0.235
284,284,0.1565,0.23405,0.24326,0.25748,0.19477,0.14564,0.15764,0.23622
